0.jpg,"the bird has small beak when compared to its body, with gray and white wingbars.
"
94.jpg,"a small bird with a yellow top and white bottom.
"
95.jpg,"this bird has a green and yellow head with a white belly and dark blue and white wings.
"
96.jpg,"a slim bird with a yellow tint, a long beak, and large feet.
"
97.jpg,"the small bird has an orange body with black eyes and a long tail.
"
98.jpg,"this smaller bird has a white belly, yellow breast and crown, with white wingbars.
"
99.jpg,"the bird has a very small head, a pointed bill, and a yellow breast.
"
100.jpg,"this bird has a vibrant yellow throat and superciliary area, a light green crown and back, and dark gray across its wings.
"
101.jpg,"this bird has a white belly, yellow breast, and black and white wings.
"
102.jpg,"this little bird has a small, short beak, a rustic gray and yellow pattern from his head down to his back and chest and small striped wings.
"
103.jpg,"this bird has a light yellow colored belly and breast, with white wingbars accented by black primaries.
"
104.jpg,"this bird has a yellow breast with grey feathers and a small beak.
"
105.jpg,"this bird has a black bill and a yellow head that fades into white, with striped wings.
"
106.jpg,"a small gray bird with a yellow head.
"
107.jpg,"the bird's bill is located above it's throat.
"
108.jpg,"its a small yellow bodied bird that has a small white beak, blackened eyes and dark feathers to compliment dark talons.
"
109.jpg,"this bird is mainly yellow with primarily black wings and a bright beak.
"
110.jpg,"this bird has a white belly and yellow breast with gray secondaries.
"
111.jpg,"this bird is stark yellow on its throat, eyebrow and chest while it's wings are black and white striped.
"
112.jpg,"this little bird has a white belly, yellow breast, and white wingbars.
"
113.jpg,"a small yellow headed bird with grey-black wings and a white wingbars.
"
114.jpg,"the small bird has a yellow side and black bill.
"
115.jpg,"a small bird with a pointed black beak, and a yellow head and breast.
"
116.jpg,"a grey bird with black feathers and a yellow neck.
"
117.jpg,"this bird has a bright yellow breast, a greyish yellow head, and grey wings.
"
118.jpg,"very tiny bright yellow bird, with black beak, tarsus and feet along with black and white coloration on wings.
"
119.jpg,"a tiny yellow and white bird that has beady back eyes and a cute little beak.
"
120.jpg,"small yellow bird, black secondaries, black eyes and at top of bil.
"
121.jpg,"this bird has yellow neck,throat, crown and black wings, belly and breast, tail.
"
122.jpg,"a yellow breasted and yellow crowned bird with a black eyering and long legs.
"
123.jpg,"a yellow throat and crown with a black bill is what this small bird sports.
"
124.jpg,"this bird has a black body whit stripe on his wings and a yellow head and chest.
"
125.jpg,"the head of the bird is yellow and the rest of the body is black.
"
126.jpg,"the bird has a yellow breast as well as a black bellyl.
"
127.jpg,"this bird has a yellow breast and head, black feathers everywhere else, and a sharp black beak.
"
128.jpg,"this particular bird is almost all brown with a yellow crown, throat, and nape.
"
129.jpg,"this medium sized bird has a brown body, complimented by a yellow head and breast.
"
130.jpg,"a small bird colored yellow and black with a small head and a sharply pointed beak.
"
131.jpg,"this bird has a very proud look about it, being all black with a very pronounced yellow breast and head.
"
132.jpg,"the bird has sharp and pointed beak, with yellow throat, crown and nape, and black beak, tarsus and feet.
"
133.jpg,"bird with black feathers covering its body and yellow feathers for their head
"
134.jpg,"a colorful bird with a pointed grey beak, bright yellow throat, head and breast, black on it's belly wings and tail, and a black ring around it's eye
"
135.jpg,"a large bird with long wings, and an orange body.
"
136.jpg,"the bird has a yellow breast and black belly as well as a small bill.
"
137.jpg,"this bird has a black body and bill. it's head is bright yellow. the eyering is black.
"
138.jpg,"a bird that has a black body and a bright orange head with a pointy beak
"
139.jpg,"the head, nape, throat and chest are yellow orange, the beak and feet are black and the wings and tail are black.
"
140.jpg,"a small bird with a yellow head and black body.
"
141.jpg,"the bird has a yellow crown and yellow belly and throat.
"
142.jpg,"a black bird with a yellow head and a black marking covering its eyes.
"
143.jpg,"this bird is black and yellow, he's perched on a reed. he has a yellow head and chest, and a black body and beak. his talons look very sharp.
"
144.jpg,"this is a black bird with a yellowish orange head and chest and a sharp black bill.
"
145.jpg,"this bird is nearly all black with an orange crown, neck, and nape.
"
146.jpg,"this striking bird has a mostly black body with a yellow-orange head and breast.
"
147.jpg,"this bird has a bright orange breast and head, it's wings are black and there are white wingbars.
"
148.jpg,"a small, mostly black bird with orange crown, collar and breast.
"
149.jpg,"this bird has a yellow head and breast with an orange crown and a black eyering.
"
150.jpg,"a bird with a yellow head and breast and a black superciliary.
"
151.jpg,"this is a black bird with a yellow breast and head.
"
152.jpg,"a medium sized bird with a yellow chest and head, and black body and wings
"
153.jpg,"sharp billed yellow and black bird with long feathers
"
154.jpg,"a medium sized bird that has a yellow chest and head, with a black body and wings
"
155.jpg,"the bird has small beak when compared to its body with yellow throat, crown and nape and rest of the body is covered in black.
"
156.jpg,"this bird has a yellow head, long black legs, and black feathers.
"
157.jpg,"a black bird with a yellow torso and head with a small black beak.
"
158.jpg,"black wings, black belly and feet, contrast with the bright orange/yellow of the breast and head.
"
159.jpg,"a medium sized bird with a long build and a yellow head and breast.
"
160.jpg,"this brightly colored bird has a black beak, wings, feet and tail feathers with an astonishingly bright yellow head and chest.
"
161.jpg,"the head of the bird is yellow while the body of the bird is black.
"
162.jpg,"this bird with a shortly pointed bill is black aside from its yellow head, neck, and upper breast.
"
163.jpg,"a medium sized bird with a yellow chest and head, and black body and wings
"
164.jpg,"this bird has a black belly and yellow breast and crown.
"
165.jpg,"this medium sized bird has a yellow upper half and a brown lower half.
"
166.jpg,"this bird has black primaries, a yellow-orange breast and black feet.
"
167.jpg,"a medium sized bird that has yellow breast and head, with a black body and wings
"
168.jpg,"the bill on this yellow headed bird is black and pointed, it's feet and eyes are also black.
"
169.jpg,"the bird has a bight orange yellow head with a black body.
"
170.jpg,"a orange and black bird with a black bill and black feet with a orange throat
"
171.jpg,"this bird has a brilliant golden head with a black eyering and black body with small white patches on the black wings.
"
172.jpg,"a black bird with a bright yellow head and breast and black beak and feet.
"
173.jpg,"the bird has an all black face and eyering, with a yellow breast, black belly, and black back
"
174.jpg,"the bird is small with a pointy thin beak, yellow and gray colors, and a small head.
"
175.jpg,"this magnificent bird is mostly black with a bright yellow breast and neck, and orange crown.
"
176.jpg,"a bird has a bright golden crown and throat, it's breast is yellow, and back is black.
"
177.jpg,"a small bird with a yellow body, and a long tail.
"
178.jpg,"small bird with yellow feathers covering its belly and grey tail feathers
"
179.jpg,"this bird has a gray upper body, a yellow neck, a white belly, and a white eyebrow.
"
180.jpg,"the small yellow breasted bird with a green tail has large wings considering it's small size overall.
"
181.jpg,"this long-tailed bird has a yellow breast and white abdomen and belly with black every else except for a white eyebrow.
"
182.jpg,"the squat bird has a vibrant yellow chest and belly while the rest of its body is dull.
"
183.jpg,"a colorful bird with a vivid yellow throat, breast and belly with brown wings.
"
184.jpg,"this is a bird with yellow hair in the breast with its bills open.
"
185.jpg,"the bird has a yellow belly, white abdomen, and bill that is curved downwards.
"
186.jpg,"this bird has yellow breast feathers, a pointed beak, and long tail feathers.
"
187.jpg,"this is a small, 3-5 inches, brightly colored bird with olive green wings, tail, and back, white crown, black face, and yellow belly.
"
188.jpg,"the bird has a white belly with a clear line that has its upper body turn yellow leading to its head.
"
189.jpg,"this little guy has a yellow breast, gray crown, and a white belly.
"
190.jpg,"this colorful bird has a yellow breast and sides with a medium length, pointed bill.
"
191.jpg,"the small bird is brown with a yellow belly and skinny tarsals.
"
192.jpg,"this bird has a white belly, yellow breast and a grey head.
"
193.jpg,"this small bird has a bright yellow breast, grey belly, and long curved beak.
"
194.jpg,"this bird has a small head, gray wings, a white belly, and a bright yellow breast.
"
195.jpg,"small bird with white patch around the eyes, yellow breast and white under feathers.
"
196.jpg,"this is a gray bird with a bright yellow chest and a light gray abdomen.
"
197.jpg,"a small bird with a yellow and white underbelly and green wings.
"
198.jpg,"the yellow underbelly of this bird makes it stand out in comparison to its bland, tan body and black, beady eyes.
"
199.jpg,"this colorful bird has a yellow chest,a white inalar stripe,and black tarsus and feet
"
200.jpg,"this bird has a white belly with a yellow breast and wing.
"
201.jpg,"a grey bird with a yellow coloring running down its breast and stomach.
"
202.jpg,"the eyering of the small bird is white, with a small patch of black under the black eye, the crown and nape are brown and the throat and belly are yellow.
"
203.jpg,"this colorful bird stands out with it's bright yellow body, black beak, and white around its eyes.
"
204.jpg,"the small bird has an orange belly and a black rounded bill.
"
205.jpg,"a bird with a white abdomen, yellow breast, belly and throat, and black crown, bill and wings.
"
206.jpg,"this small bird has a brown body with a bright yellow belly and white eyebrows and eye rings.
"
207.jpg,"this bird has a brown crown, a small and short black bill, and a bright yellow breast and belly.
"
208.jpg,"this colorful smaller bird has a white belly, yellow breast, and white eyerings.
"
209.jpg,"this bird has white eyerings, a green neck and yellow beast.
"
210.jpg,"the bird has a yellow breast and belly and a black eyering.
"
211.jpg,"this bird has a yellow belly and breast, with gray crown and white eyebrows.
"
212.jpg,"a grey bird with a yellow neck and belly.
"
213.jpg,"this bird has a yellow belly with a black back and a white eyering.
"
214.jpg,"a bird with a half yellow, half white breast, short black pointed bill and gray-brown primaries.
"
215.jpg,"this bird has a pointy black bill, with yellow breast leading down to a grey tail.
"
216.jpg,"this bird has a white belly, yellow breast, and a gray crown.
"
217.jpg,"the bird has a grey head with a yellow body and white abdomen and rump.
"
218.jpg,"the bird has small and sharp beak, with yellow throat, yellow breast and belly, with brown wingbars.
"
219.jpg,"the little bird has a bright yellow chest accompanied by a grey and brown backside with white circles around its eyes.
"
220.jpg,"small yellow and white bird with grey feathers from the head down to the tail.
"
221.jpg,"the bird has yellow throat, breast and white abdomen and superciliary, black beak, wings, tarsus and feet.
"
222.jpg,"this bird has a yellow breast and a grey belly with a small black beak.
"
223.jpg,"this bird has a yellow breast and a dark grey face.
"
224.jpg,"this bird has a yellow belly and neck with a gray crest, nape, wings, and tail.
"
225.jpg,"a black bird with yellow belly with a small beak and average sized head.
"
226.jpg,"the bird has a yellow breast and brown wings and brown tail feathers.
"
227.jpg,"the bird has a yellow breast and belly as well as a black bill.
"
228.jpg,"this small bird has a yellow belly with dark gray and yellow flecked back markings.
"
229.jpg,"the bird has a yellow belly and chest and a black bill that is slightly curved.
"
230.jpg,"a small bird has a golden belly, a short white beak and a white vent.
"
231.jpg,"the bird has a yellow breast as well as belly that is fluffy.
"
232.jpg,"the bird has sharp pointed beak, with yellow throat and breast, dark green nape and black feet.
"
233.jpg,"the bird has a yellow breast and belly as well as a small bill.
"
234.jpg,"the small bird has a yellow breast and a brown head.
"
235.jpg,"this small bird has fluffy feathers, a yellow torso and a white body, with skinny black legs.
"
236.jpg,"a black winged bird with white belly with a average sized yellow beak.
"
237.jpg,"this bird is white on the throat, breast and belly. it has a gray crown and wings. the bill is yellow with some black.
"
238.jpg,"a large bird with a prominent balck and orange bill, white belly and gray head and wings.
"
239.jpg,"the bird has a large curved bill that is yellow and black.
"
240.jpg,"the bird has a tan head, tan tail and wings, the throat chest and belly are a grey tan color.
"
241.jpg,"a brown bird with a yellow belly, large wings, and an orange beak.
"
242.jpg,"this orange billed bird has black wings and retrices and white breast and belly.
"
243.jpg,"a small bird has a brown back, a long yellow bill, and white thighs.
"
244.jpg,"the bird has a white belly and a brown body with a yellow bill.
"
245.jpg,"this bird has a long slight downward curved beak and white breast feather.
"
246.jpg,"the bird has a short yellow beak with a white chest and body.
"
247.jpg,"this bird has a white body and gray wings and crown. the bill starts orange and ends black on the tip.
"
248.jpg,"the bird has yellow eye ring, black top bill and yellow bottom bill, has a white body and brown side
"
249.jpg,"this bird has a bright orange bill, white belly with brown wings and crown.
"
250.jpg,"the bird has long, flat tail feathers, a white breast, and a long yellow bill.
"
251.jpg,"this small grey bird with a white chest has a yellow bill.
"
252.jpg,"a bird that has a long tail, and multiple brown tones and a white underbelly
"
253.jpg,"this bird has a white belly and breast with a gray crown and wings.
"
254.jpg,"the bird has a curved small bill that is yellow and black.
"
255.jpg,"a medium size grey bird, with a white breast and a yellow and black beak and big black eyes.
"
256.jpg,"this beautiful hark grey, and white bird, has a small pointy orange beak that matches his tail feathers.
"
257.jpg,"this white bellied and neck bird has brown wings and crown. the bill is orange.
"
258.jpg,"this is a small gray bird with a curved gray and yellow bill.
"
259.jpg,"this bird has a white breast, brownish red crown and wings, and a slightly-curved beak.
"
260.jpg,"brown feathered bird with white feathers on the underside of the bird and long tail feathers.
"
261.jpg,"a small yet long bird, with white and tan colored feathers.
"
262.jpg,"this bird has a white chest and an orange beak.
"
263.jpg,"thin white bird with a long tail that is grey and has white circle on it tail but grey feathers on its head and its beak.
"
264.jpg,"a long brown bird with a lighter brown belly and neck.
"
265.jpg,"this is a tan bird with a cream-colored abdomen and chest and a sharp orange bill.
"
266.jpg,"the bird is light tan with a white throat and chest and bright yellow beak.
"
267.jpg,"a medium sized bird that has a cream belly, and spotted rectrices
"
268.jpg,"the head wings and tail are grayish brown, the beak is yellow and the throat and belly are white.
"
269.jpg,"a bird has a white breast and white belly, it's superciliary is black and it has a bright orange bill.
"
270.jpg,"this bird is mostly gray with a white throat and a relatively long gray and orange bill.
"
271.jpg,"this bird has a brown crown, back, and wings, while the belly and breast are white.
"
272.jpg,"this bird has a white throat, breast, and belly, an orange beak, and a brown head and wings.
"
273.jpg,"this bird has brown feathers, a white throat and an orange beak.
"
274.jpg,"the bird has a white body and a yellow beak.
"
275.jpg,"this tropical-looking bird has a pure white breast with brown wings and a long, curved bill.
"
276.jpg,"this bird appears quite average in length and side, it has a white breast and throat while it's wings and crown are brown, it also has an orange beak.
"
277.jpg,"the bird has a bill that is small and yellow and black.
"
278.jpg,"the bird has a white breast and throat and a long bill.
"
279.jpg,"the bird has brown feathers on the wings, back and head and a longer brown beak that is curved.
"
280.jpg,"a white breasted, rust colored winged bird with a sharp yellow and grey bill.
"
281.jpg,"this bird is brown and has a round black eye and white breast feather.
"
282.jpg,"this bird has a long body with rigid feathers.
"
283.jpg,"the bird has a white breast and belly and a small bill.
"
284.jpg,"a bird with a white breast, short yellow bill and gray feet.
"
285.jpg,"this bird is brown on its head and wings and white on its belly and breast.
"
286.jpg,"this bird has a white underbelly with brown wings and a grey head leading to an orange bill that curves slightly downward.
"
287.jpg,"a small bird with a white underbelly and brown wings.
"
288.jpg,"the bird has a white breast and belly and a curved yellow bill.
"
289.jpg,"this is a green and yellow billed white breasted bird with a gray crown and gray feet.
"
290.jpg,"the orange and black beak is pointed, the tan crown and nape, the white throat, chest and belly are white and the wings are tan.
"
291.jpg,"the bird has a long curved bill that is yellow.
"
292.jpg,"this colorful bird has a white belly and breast, brown wings, the bill is short and pointed, and black tarsus and feet.
"
293.jpg,"this is a small grey bird with a straight, flat beak.
"
294.jpg,"a small bird has very fluffy feathers that are tan and white, with it's breast and belly having most of the white color.
"
295.jpg,"this is a little grey bird with dark brown wings and a small beak.
"
296.jpg,"the bird is very small in size and has a forest green coat caking the majority of its body with the exception of its black and white wings and yellow butt.
"
297.jpg,"this is a bird with a yellow belly and black wings.
"
298.jpg,"a small rather bland brown colored bird with a bland green belly and breast.
"
299.jpg,"the bird has a yellow breast and belly as well as a small eyering.
"
300.jpg,"this bird has a short, pointy beak with yellow colorations around the head and breast.
"
301.jpg,"small green bird with brown feathers that have a white trimming on the ends and the tail.
"
302.jpg,"small bird with green body feathers and black and white striped wings
"
303.jpg,"birds belly is yellowish wings are brown with yellow and white in them beek is yellow and head is a brownish color.
"
304.jpg,"the bird has sharp and pointed beak, and it has gray throat, breast, belly and abdomen.
"
305.jpg,"a glassy black eye matches the bird's black feet and black and white beak and looks out from a grayish-blue head atop a white and grayish-blue breast.
"
306.jpg,"small and plump with black eyes and a small pointed beak, this bird has a gray tail and wings striped with the same light yellow/green as it's chest.
"
307.jpg,"a small sized bird that has a yellow belly and dark brown wings that have a cream bar
"
308.jpg,"a small brown bird with vivid brown/black/white striations along its wings.
"
309.jpg,"this small bird has a greenish tint, with a yellow belly and brown wingbars, and its beak is short and orange.
"
310.jpg,"this small gray bird has a pointed bill, black wings with white bars, and white abdomen and undertail coverts.
"
311.jpg,"a small bird with a short beak, yellow and white breast, with a green tail and black feet.
"
312.jpg,"this bird is predominately grey with a bright yellow breast.
"
313.jpg,"the bird is grey with a plump belly and short beak.
"
314.jpg,"this bird has a white belly, a grey breast and a grey head.
"
315.jpg,"a small grey-green bird with a darker crown and cheek, white wingbars on pale brown wings and a white eyering.
"
316.jpg,"this bird has a white belly with a brown face and a small beak.
"
317.jpg,"this bird has a belly, eyering and wingbars that are off-white, while having a crown and secondary feathers that are varying colors of brown.
"
318.jpg,"this small bird has a dark green head, a dark yellow bill, and wings with black colored feathers.
"
319.jpg,"the bird has gray crown, belly and white abdomen, with black tarsus and feet.
"
320.jpg,"this bird's head is fluffy and it's eyebrows makes it look angry; it is a light brown color with darker brown wings and white mixed into the wings.
"
321.jpg,"a bird with a small black bill, a medium sized head, white wingbars and black coverts
"
322.jpg,"the bird has a large black eyering and a small bill.
"
323.jpg,"a small bird with a small head and small beak, a green back, head and breast, and dark grey and white wings.
"
324.jpg,"the bill on this bird is orange on bottom and black on top. the wings are brown at the top and black with white wingbars. thebreast is an off white brown mix.
"
325.jpg,"this yellow and grey bird stands with confident posture
"
326.jpg,"this light brown bird has a medium brown crest, wings, and tail.
"
327.jpg,"a light tan bird with a small bill, grey/brown crown and wings with a white wingbar.
"
328.jpg,"this cute little bird have a curved downward beak with bright yellow color belly and breast and black feet.
"
329.jpg,"a bird with lemon yellow feathers has its food in the mouth.
"
330.jpg,"this birds head it the color of pea green with black and white wingbars and a splash of white, green, and yellow sides.
"
331.jpg,"this tiny bird has a very small beak, large black eyes that stand out against it's white eye ring and has a yellow and gray coloration on its breast all the way down to it's undertail.
"
332.jpg,"this tiny little bird is dull yellow with a brownish head and wings and yellow eye rings.
"
333.jpg,"a greenish gray bird with tiny legs and random green feathers coming from it's tail.
"
334.jpg,"a bird has a grey crown, a white and yellow belly, and a long tail father with grey outer rectrices.
"
335.jpg,"a small yellow/green bird with black wings and white wingbars.
"
336.jpg,"this is a light green bird with a yellow abdomen and black feet.
"
337.jpg,"small bird with mostly yellow feathers and a small beak.
"
338.jpg,"small, mostly yellow bird, with brown ,white, and black stripes on his wings and tail.
"
339.jpg,"this is a grey bird with a yellow spot on its back.
"
340.jpg,"the bird has a small eyering that is black and a white breast.
"
341.jpg,"a small bird has a light grey crown, black eyes with a light yellow ring, and it's belly is round and a very light yellow.
"
342.jpg,"the bird has a green breast and abdomen as well as a tiny bill.
"
343.jpg,"a tiny bird, with a very big head, a short black and orange bill, amber crown and coverts, white flanks, and two white wingbars.
"
344.jpg,"a grayish - yellow bird with a tiny beak and small eyes.
"
345.jpg,"there is a small bird with a light brown belly, and striped brown wings and back.
"
346.jpg,"this little bird has a brownish white belly and breast and white wingbars.
"
347.jpg,"the wingbars connect the converts to the secondaries on the bird's wings.
"
348.jpg,"this fluffy bird is a pretty solid brown with white mixed in to the feathers.
"
349.jpg,"this is a small grey bird with black wings and a small beak.
"
350.jpg,"this small bird with grayish wingbars and crown, yellowish white belly small beak compared to the body.
"
351.jpg,"the bird is grey and has an orange beak with white colored belly.
"
352.jpg,"a small bird has a light brown crown, a small yellow bill, and a rounded belly that is white.
"
353.jpg,"a small bird with a green belly and grey wings.
"
354.jpg,"this is a small yellow bird that has black stripes on its head.
"
355.jpg,"the bird has a black eyering as well as a small bill.
"
356.jpg,"the bird has a slim body and a black and yellow striped head
"
357.jpg,"this little bird is mostly yellow with black stripes along its crown, and superciliary.
"
358.jpg,"the small bird is brown with a striped head and sharp beak.
"
359.jpg,"the bird has a yellow breast and belly as well as a small bill.
"
360.jpg,"this bird has a brown and yellow body with black strips on its head and a black bill
"
361.jpg,"a small bird with a small straight bill, black eyebrow, and black eyes
"
362.jpg,"this is a small bird with red feet, sitting on a limb with leaves.
"
363.jpg,"a small beige bird with black stripes on its crown and cheek patch.
"
364.jpg,"the bird has sharp and pointed beak that is brown in color, and pink tarsus and feet, and brownish green wings.
"
365.jpg,"this little guy is almost completely yellow with brown stripes on its crown, and superciliaries.
"
366.jpg,"small tan bird with brown wings, medium tarsus and long beak
"
367.jpg,"the green bird has a long bill and a black eyebrow.
"
368.jpg,"a small bird,colors are brown and greyish, with tiny black eyes and black stripes from its beak to the back of its head.
"
369.jpg,"bird has yellow body, green wings black tail and black and yellow crown
"
370.jpg,"this bird is mostly yellow with black stripes on its crown and superciliary.
"
371.jpg,"a small bird with green-brown coloring; its head has black stripes going from the beak over the head.
"
372.jpg,"the bird has a black and white striped head and long bill.
"
373.jpg,"this is a brown bird with a white belly and a yellow head.
"
374.jpg,"a small brown bird with black and white markings.
"
375.jpg,"the head of the bird is brown and white striped while the body of the bird is light tan.
"
376.jpg,"this is a small yellow bird with black stripes going down its head.
"
377.jpg,"a small bird with brown nape and small feet with a brown bill
"
378.jpg,"this yellow breasted bird has black eye stripe extending from its shortly pointed beak to it's nape.
"
379.jpg,"a bird with a small triangular bill, yellow throat, and pink tarsi.
"
380.jpg,"a small tan bird with black crown and cheek patch.
"
381.jpg,"this compact bird has a yellow head with white stripes across the top of it's head and eyes; the wings are a brownish-green color with a white underside.
"
